"名称","住所","現場責任者（建設部）","路線","地名起点","地名終点","業者（名称）","規制原因","規制状況","方向区分","規制開始日時","規制終了日時","報告者（建設部）","路面状況_1","路面状況_2","曜日_1","曜日_2","時間_1","時間_2","車両_1","車両_2","迂回路の有無","迂回路（名称）","備考","経度","緯度","分類"
"一般県道 日置川すさみ線　西牟婁郡白浜町日置(全面通行止)","","","一般県道 日置川すさみ線","西牟婁郡白浜町日置","西牟婁郡白浜町日置","","その他","全面通行止","","2011/09/09 17:0:0","未定","西牟婁建設部","その他","橋梁損傷","","","終日","","","","有","国道42号","","135.451071318048","33.569561862499","通行止"
"一般県道 日置川すさみ線　西牟婁郡白浜町日置(全面通行止)","","","一般県道 日置川すさみ線","西牟婁郡白浜町日置","西牟婁郡白浜町日置","","その他","全面通行止","","2011/09/09 17:0:0","未定","西牟婁建設部","その他","橋梁損傷","","","終日","","","","有","国道42号","","135.451947226474","33.5681720527318","通行止"
"一般県道 佐本深谷三尾川線　古座川町長追(４トン超車両通行止め)","","","一般県道 佐本深谷三尾川線","古座川町長追","古座川町長追","","災害","４トン超車両通行止め","上下","2013/09/25 9:00","未定","串本建設部","路肩崩壊","","","","終日","","","","無","","","135.668952417551","33.5840954281757","大型車通行止"
"一般県道 佐本深谷三尾川線　古座川町長追(４トン超車両通行止め)","","","一般県道 佐本深谷三尾川線","古座川町長追","古座川町長追","","災害","４トン超車両通行止め","上下","2013/09/25 9:00","未定","串本建設部","路肩崩壊","","","","終日","","","","無","","","135.668685428543","33.5843704055232","大型車通行止"
"一般国道 311号　田辺市中辺路町栗栖川～真砂（旧道）(全面通行止（旧道）)","","","一般国道 311号","田辺市中辺路町栗栖川～真砂（旧道）","田辺市中辺路町栗栖川～真砂（旧道）","","その他","全面通行止（旧道）","上下","2015/05/12 12:00","未定","西牟婁建設部","その他","通行不能（旧道）","","","終日","","","","有","国道311号（新道）","","135.500873929909","33.7739647545234","通行止"
"一般国道 311号　田辺市中辺路町栗栖川～真砂（旧道）(全面通行止（旧道）)","","","一般国道 311号","田辺市中辺路町栗栖川～真砂（旧道）","田辺市中辺路町栗栖川～真砂（旧道）","","その他","全面通行止（旧道）","上下","2015/05/12 12:00","未定","西牟婁建設部","その他","通行不能（旧道）","","","終日","","","","有","国道311号（新道）","","135.499872023948","33.7722099894125","通行止"
"その他　那智勝浦町小匠(全面通行止)","","道路保全課","その他","那智勝浦町小匠","那智勝浦町高野","","","全面通行止","上下","2015/06/01","未定","","","","","","終日","","","","無","","","135.844584465573","33.6027349089081","通行止"
"その他　那智勝浦町小匠(全面通行止)","","道路保全課","その他","那智勝浦町小匠","那智勝浦町高野","","","全面通行止","上下","2015/06/01","未定","","","","","","終日","","","","無","","","135.81069637306","33.6360305493586","通行止"
"その他　古座川町小森川(全面通行止)","","道路保全課","その他","古座川町小森川","古座川町小森川","","","全面通行止","上下","","未定","","","","","","終日","","","","無","","","135.787417481452","33.6428227344505","通行止"
"その他　古座川町小森川(全面通行止)","","道路保全課","その他","古座川町小森川","古座川町小森川","","","全面通行止","上下","","未定","","","","","","終日","","","","無","","","135.762230093252","33.6804464517573","通行止"
"その他　古座川町松根(全面通行止)","","道路保全課","その他","古座川町松根","古座川町小森川","","","全面通行止","上下","","未定","","","","","","終日","","","","無","","","135.733148365724","33.692360776297","通行止"
"その他　古座川町松根(全面通行止)","","道路保全課","その他","古座川町松根","古座川町小森川","","","全面通行止","上下","","未定","","","","","","終日","","","","無","","","135.757069406418","33.6862397516541","通行止"
"田辺市道　田辺市中辺路町福定(全面通行止)","","道路保全課","田辺市道","田辺市中辺路町福定","田辺市中辺路町近露","","","全面通行止","上下","2015/03/10 ","未定","","","","","","終日","","","","有","","","135.581160595156","33.8148150611664","通行止"
"田辺市道　田辺市中辺路町福定(全面通行止)","","道路保全課","田辺市道","田辺市中辺路町福定","田辺市中辺路町近露","","","全面通行止","上下","2015/03/10 ","未定","","","","","","終日","","","","有","","","135.587283957822","33.8145971574228","通行止"
"田辺市道　田辺市本宮町静川(全面通行止)","","道路保全課","田辺市道","田辺市本宮町静川","田辺市本宮町静川","","","全面通行止","上下","2015/08/01","未定","","","","","","終日","","","","有","","","135.735718514409","33.7812547819667","通行止"
"田辺市道　田辺市本宮町静川(全面通行止)","","道路保全課","田辺市道","田辺市本宮町静川","田辺市本宮町静川","","","全面通行止","上下","2015/08/01","未定","","","","","","終日","","","","有","","","135.735457537213","33.7807858364418","通行止"
"一般県道 海南吉備線　有田川町賢(４ｔ以上通行止)","","","一般県道 海南吉備線","有田川町賢","有田川町賢","","崩土","４ｔ以上通行止","","2016/09/21 17:00","未定","有田建設部","法面崩壊","","","","終日","","","","有","","","135.215410022927","34.0945172536019","大型車通行止"
"一般県道 海南吉備線　有田川町賢(４ｔ以上通行止)","","","一般県道 海南吉備線","有田川町賢","有田川町賢","","崩土","４ｔ以上通行止","","2016/09/21 17:00","未定","有田建設部","法面崩壊","","","","終日","","","","有","","","135.215349025677","34.0946952291263","大型車通行止"
"一般県道 近露平瀬線　田辺市中辺路町近露(全面通行止)","","","一般県道 近露平瀬線","田辺市中辺路町近露","田辺市中辺路町近露","","災害","全面通行止","","2017/04/12 17:00","未定","西牟婁建設部","その他","崩土","","","終日","","","","無","","","135.609218391719","33.8027653320574","通行止"
"一般県道 近露平瀬線　田辺市中辺路町近露(全面通行止)","","","一般県道 近露平瀬線","田辺市中辺路町近露","田辺市中辺路町近露","","災害","全面通行止","","2017/04/12 17:00","未定","西牟婁建設部","その他","崩土","","","終日","","","","無","","","135.607812555745","33.799522704067","通行止"
"紀の川市道　紀の川市桃山町調月(通行止)","","","紀の川市道","紀の川市桃山町調月","紀の川市桃山町最上","","災害","通行止","上下","2017/07/31 3:30","未定","道路保全課","法面崩壊","","","","終日","","","","有","紀の川市道尼岡西の池線","","135.340671879881","34.2186856395386","通行止"
"紀の川市道　紀の川市桃山町調月(通行止)","","","紀の川市道","紀の川市桃山町調月","紀の川市桃山町最上","","災害","通行止","上下","2017/07/31 3:30","未定","道路保全課","法面崩壊","","","","終日","","","","有","紀の川市道尼岡西の池線","","135.350273017142","34.2191425490991","通行止"
"日高川町道　日高川町大字高津尾(通行止)","","","日高川町道","日高川町大字高津尾","日高川町大字高津尾","","災害","通行止","","2017/08/07 13:00","未定","道路保全課","その他","","","","終日","","","","無","","","135.299369538859","33.9493225737225","通行止"
"日高川町道　日高川町大字高津尾(通行止)","","","日高川町道","日高川町大字高津尾","日高川町大字高津尾","","災害","通行止","","2017/08/07 13:00","未定","道路保全課","その他","","","","終日","","","","無","","","135.300506563567","33.9491937772307","通行止"
"主要地方道 那智山勝浦線　那智勝浦町那智山(片側規制)","","","主要地方道 那智山勝浦線","那智勝浦町那智山","那智勝浦町那智山","","災害","片側規制","","2017/10/23","未定","新宮建設部","路肩崩壊","","","","終日","","","","無","","","135.891445062088","33.6713252284078","片側規制"
"主要地方道 那智山勝浦線　那智勝浦町那智山(片側規制)","","","主要地方道 那智山勝浦線","那智勝浦町那智山","那智勝浦町那智山","","災害","片側規制","","2017/10/23","未定","新宮建設部","路肩崩壊","","","","終日","","","","無","","","135.890692140481","33.671809140052","片側規制"
"一般国道 424号　有田川町小川(片側通行)","","","一般国道 424号","有田川町小川","有田川町小川","","路欠","片側通行","上下","2017/10/23 3:15","未定","有田建設部","路肩崩壊","","","","終日","","","","無","","","135.270832488561","34.0760071525523","片側規制"
"一般国道 424号　有田川町小川(片側通行)","","","一般国道 424号","有田川町小川","有田川町小川","","路欠","片側通行","上下","2017/10/23 3:15","未定","有田建設部","路肩崩壊","","","","終日","","","","無","","","135.270967471073","34.0761761245308","片側規制"
"主要地方道 海南金屋線　海南市扱沢(４ｔ以下車両片側通行可)","","","主要地方道 海南金屋線","海南市扱沢","海南市扱沢","","災害","４ｔ以下車両片側通行可","上下","2017/11/17 15:00","未定","海草建設部","路肩崩壊","","","","終日","","","","無","","","135.249617343666","34.1250886727489","片側規制"
"主要地方道 海南金屋線　海南市扱沢(４ｔ以下車両片側通行可)","","","主要地方道 海南金屋線","海南市扱沢","海南市扱沢","","災害","４ｔ以下車両片側通行可","上下","2017/11/17 15:00","未定","海草建設部","路肩崩壊","","","","終日","","","","無","","","135.249406505701","34.1244112282308","片側規制"
"一般国道 424号　有田川町瀬井(2t超車両通行止)","","","一般国道 424号","有田川町瀬井","有田川町瀬井","","災害","2t超車両通行止","上下","2018/02/19 17:00","未定","有田建設部","路肩崩壊","","","","終日","","","2t超車両通行止","有","","","135.288006040348","34.1106673210586","片側規制"
"一般国道 424号　有田川町瀬井(2t超車両通行止)","","","一般国道 424号","有田川町瀬井","有田川町瀬井","","災害","2t超車両通行止","上下","2018/02/19 17:00","未定","有田建設部","路肩崩壊","","","","終日","","","2t超車両通行止","有","","","135.288743959711","34.1109592990612","片側規制"
"一般国道 480号　有田川町沼(片側交互通行)","","","一般国道 480号","有田川町沼","有田川町沼","","災害","片側交互通行","","2018/03/05 23:30","未定","有田建設部","法面崩壊","","","","終日","","","","無","","","135.383397455166","34.0955575864051","片側規制"
"一般国道 480号　有田川町沼(片側交互通行)","","","一般国道 480号","有田川町沼","有田川町沼","","災害","片側交互通行","","2018/03/05 23:30","未定","有田建設部","法面崩壊","","","","終日","","","","無","","","135.383630435365","34.0955515893321","片側規制"
"一般県道 芳養清川線　田辺市上芳養地内(全面通行止（旧道）)","","","一般県道 芳養清川線","田辺市上芳養地内","日高郡みなべ町清川地内","","旧道（通行不可）","全面通行止（旧道）","","2018/03/17 15:00","未定","日高建設部","その他","通行不可（旧道）","","","終日","","","","有","","新面谷トンネル供用開始のため、旧面谷トンネルを閉鎖し通行止めとする。","135.402600919041","33.8360983244827","通行止"
"一般県道 芳養清川線　田辺市上芳養地内(全面通行止（旧道）)","","","一般県道 芳養清川線","田辺市上芳養地内","日高郡みなべ町清川地内","","旧道（通行不可）","全面通行止（旧道）","","2018/03/17 15:00","未定","日高建設部","その他","通行不可（旧道）","","","終日","","","","有","","新面谷トンネル供用開始のため、旧面谷トンネルを閉鎖し通行止めとする。","135.404400755855","33.8390891390537","通行止"
"一般県道 那賀かつらぎ線　かつらぎ町笠田中(大型車通行止)","","伊都建設部","一般県道 那賀かつらぎ線","かつらぎ町笠田中","かつらぎ町笠田中","","","大型車通行止","上下","2017/08/21 8:00","2019/03/31 17:30","","","","","","終日","","","マイクロバス除く","有","かつらぎ町道","","135.472849583903","34.290773062324","大型車通行止"
"一般県道 那賀かつらぎ線　かつらぎ町笠田中(大型車通行止)","","伊都建設部","一般県道 那賀かつらぎ線","かつらぎ町笠田中","かつらぎ町笠田中","","","大型車通行止","上下","2017/08/21 8:00","2019/03/31 17:30","","","","","","終日","","","マイクロバス除く","有","かつらぎ町道","","135.473762512771","34.2871145258269","大型車通行止"
"一般国道 480号　有田川町杉野原(全面通行止)","","有田建設部","一般国道 480号","有田川町杉野原","有田川町杉野原","","","全面通行止","上下","2018/03/29 9:00","2018/04/05 17:00","","","","","","時間規制","9:00～12:00、13:00～17:00","","４t超車両迂回路通行不可","無","","","135.498427682177","34.120498608802","通行止"
"一般国道 480号　有田川町杉野原(全面通行止)","","有田建設部","一般国道 480号","有田川町杉野原","有田川町杉野原","","","全面通行止","上下","2018/03/29 9:00","2018/04/05 17:00","","","","","","時間規制","9:00～12:00、13:00～17:00","","４t超車両迂回路通行不可","無","","","135.498753651567","34.1204436207994","通行止"
"一般国道 480号　有田川町杉野原(片側交互通行)","","有田建設部","一般国道 480号","有田川町杉野原","有田川町杉野原","","","片側交互通行","上下","2018/03/29 9:00","2018/09/10 17:00","","","","","","終日","","","","無","","","135.49844468058","34.120493609667","片側規制"
"一般国道 480号　有田川町杉野原(片側交互通行)","","有田建設部","一般国道 480号","有田川町杉野原","有田川町杉野原","","","片側交互通行","上下","2018/03/29 9:00","2018/09/10 17:00","","","","","","終日","","","","無","","","135.498749651944","34.1204206233174","片側規制"
"主要地方道 かつらぎ桃山線　紀の川市下鞆渕(片側交互通行)","","","主要地方道 かつらぎ桃山線","紀の川市下鞆渕","紀の川市下鞆渕","","その他","片側交互通行","上下","2017/5/2","2018/06/30","那賀建設部","その他","土砂流出","","","終日","","","","無","","","135.436675954775","34.2173595185933","片側規制"
"主要地方道 かつらぎ桃山線　紀の川市下鞆渕(片側交互通行)","","","主要地方道 かつらぎ桃山線","紀の川市下鞆渕","紀の川市下鞆渕","","その他","片側交互通行","上下","2017/5/2","2018/06/30","那賀建設部","その他","土砂流出","","","終日","","","","無","","","135.436322998216","34.2174175154359","片側規制"
"主要地方道 広川川辺線　日高川町平川(片側交互通行)","","","主要地方道 広川川辺線","日高川町平川","日高川町平川","","災害","片側交互通行","","2018/05/10 17:00","未定","日高建設部","法面崩壊","","","","終日","","","","有","","","135.243961345582","33.9531472889704","片側規制"
"主要地方道 広川川辺線　日高川町平川(片側交互通行)","","","主要地方道 広川川辺線","日高川町平川","日高川町平川","","災害","片側交互通行","","2018/05/10 17:00","未定","日高建設部","法面崩壊","","","","終日","","","","有","","","135.24415132851","33.9528363279794","片側規制"
"主要地方道 御坊由良線　日高町小坂(終日全面通行止 又は 終日片側交互通行)","","日高建設部","主要地方道 御坊由良線","日高町小坂","日高町比井","株式会社西組","","終日全面通行止 又は 終日片側交互通行","上下","2018/05/15 9:00","2018/10/19 17:00","","","","","","終日","","","","有","","作業内容により、片側交互通行となる場合あり","135.084259598689","33.9164066888853","通行止"
"主要地方道 御坊由良線　日高町小坂(終日全面通行止 又は 終日片側交互通行)","","日高建設部","主要地方道 御坊由良線","日高町小坂","日高町比井","株式会社西組","","終日全面通行止 又は 終日片側交互通行","上下","2018/05/15 9:00","2018/10/19 17:00","","","","","","終日","","","","有","","作業内容により、片側交互通行となる場合あり","135.083851059076","33.9154231898475","通行止"
"一般国道 424号　有田川町小川(４ｔ以上通行止)","","","一般国道 424号","有田川町小川","有田川町有原","","その他","４ｔ以上通行止","上下","2018/05/16 14:00","未定","有田建設部","法面崩壊","","","","終日","","","","無","","","135.281320186106","34.0805135303144","大型車通行止"
"一般国道 424号　有田川町小川(４ｔ以上通行止)","","","一般国道 424号","有田川町小川","有田川町有原","","その他","４ｔ以上通行止","上下","2018/05/16 14:00","未定","有田建設部","法面崩壊","","","","終日","","","","無","","","135.282871964713","34.0832891178111","大型車通行止"
"主要地方道 那智山勝浦線　那智勝浦町那智山(片側規制)","","","主要地方道 那智山勝浦線","那智勝浦町那智山","那智勝浦町那智山","","災害","片側規制","","2018/05/17 17:00","未定","新宮建設部","その他","路側決壊の恐れ","","","終日","","","","無","","","135.889443268866","33.6728129660216","片側規制"
