"名称","住所","現場責任者（建設部）","路線","地名起点","地名終点","業者（名称）","規制原因","規制状況","方向区分","規制開始日時","規制終了日時","報告者（建設部）","路面状況_1","路面状況_2","曜日_1","曜日_2","時間_1","時間_2","車両_1","車両_2","迂回路の有無","迂回路（名称）","備考","経度","緯度","分類"
"一般県道 日置川すさみ線　西牟婁郡白浜町日置(全面通行止)","","","一般県道 日置川すさみ線","西牟婁郡白浜町日置","西牟婁郡白浜町日置","","その他","全面通行止","","2011/09/09 17:0:0","未定","西牟婁建設部","その他","橋梁損傷","","","終日","","","","有","国道42号","","135.451071318048","33.569561862499","通行止"
"一般県道 日置川すさみ線　西牟婁郡白浜町日置(全面通行止)","","","一般県道 日置川すさみ線","西牟婁郡白浜町日置","西牟婁郡白浜町日置","","その他","全面通行止","","2011/09/09 17:0:0","未定","西牟婁建設部","その他","橋梁損傷","","","終日","","","","有","国道42号","","135.451947226474","33.5681720527318","通行止"
"一般県道 佐本深谷三尾川線　古座川町長追(４トン超車両通行止め)","","","一般県道 佐本深谷三尾川線","古座川町長追","古座川町長追","","災害","４トン超車両通行止め","上下","2013/09/25 9:00","未定","串本建設部","路肩崩壊","","","","終日","","","","無","","","135.668952417551","33.5840954281757","大型車通行止"
"一般県道 佐本深谷三尾川線　古座川町長追(４トン超車両通行止め)","","","一般県道 佐本深谷三尾川線","古座川町長追","古座川町長追","","災害","４トン超車両通行止め","上下","2013/09/25 9:00","未定","串本建設部","路肩崩壊","","","","終日","","","","無","","","135.668685428543","33.5843704055232","大型車通行止"
"一般国道 311号　田辺市中辺路町栗栖川～真砂（旧道）(全面通行止（旧道）)","","","一般国道 311号","田辺市中辺路町栗栖川～真砂（旧道）","田辺市中辺路町栗栖川～真砂（旧道）","","その他","全面通行止（旧道）","上下","2015/05/12 12:00","未定","西牟婁建設部","その他","通行不能（旧道）","","","終日","","","","有","国道311号（新道）","","135.500873929909","33.7739647545234","通行止"
"一般国道 311号　田辺市中辺路町栗栖川～真砂（旧道）(全面通行止（旧道）)","","","一般国道 311号","田辺市中辺路町栗栖川～真砂（旧道）","田辺市中辺路町栗栖川～真砂（旧道）","","その他","全面通行止（旧道）","上下","2015/05/12 12:00","未定","西牟婁建設部","その他","通行不能（旧道）","","","終日","","","","有","国道311号（新道）","","135.499872023948","33.7722099894125","通行止"
"田辺市道　田辺市中辺路町福定(全面通行止)","","道路保全課","田辺市道","田辺市中辺路町福定","田辺市中辺路町近露","","","全面通行止","上下","2015/03/10 ","未定","","","","","","終日","","","","有","","","135.581160595156","33.8148150611664","通行止"
"田辺市道　田辺市中辺路町福定(全面通行止)","","道路保全課","田辺市道","田辺市中辺路町福定","田辺市中辺路町近露","","","全面通行止","上下","2015/03/10 ","未定","","","","","","終日","","","","有","","","135.587283957822","33.8145971574228","通行止"
"一般国道 424号　有田川町瀬井(2t超車両通行止)","","","一般国道 424号","有田川町瀬井","有田川町瀬井","","災害","2t超車両通行止","上下","2018/02/19 17:00","未定","有田建設部","路肩崩壊","","","","終日","","","2t超車両通行止","有","","","135.288006040348","34.1106673210586","片側規制"
"一般国道 424号　有田川町瀬井(2t超車両通行止)","","","一般国道 424号","有田川町瀬井","有田川町瀬井","","災害","2t超車両通行止","上下","2018/02/19 17:00","未定","有田建設部","路肩崩壊","","","","終日","","","2t超車両通行止","有","","","135.288743959711","34.1109592990612","片側規制"
"一般県道 芳養清川線　田辺市上芳養地内(全面通行止（旧道）)","","","一般県道 芳養清川線","田辺市上芳養地内","日高郡みなべ町清川地内","","旧道（通行不可）","全面通行止（旧道）","","2018/03/17 15:00","未定","日高建設部","その他","通行不可（旧道）","","","終日","","","","有","","新面谷トンネル供用開始のため、旧面谷トンネルを閉鎖し通行止めとする。","135.402600919041","33.8360983244827","通行止"
"一般県道 芳養清川線　田辺市上芳養地内(全面通行止（旧道）)","","","一般県道 芳養清川線","田辺市上芳養地内","日高郡みなべ町清川地内","","旧道（通行不可）","全面通行止（旧道）","","2018/03/17 15:00","未定","日高建設部","その他","通行不可（旧道）","","","終日","","","","有","","新面谷トンネル供用開始のため、旧面谷トンネルを閉鎖し通行止めとする。","135.404400755855","33.8390891390537","通行止"
"一般国道 169号　新宮市熊野川町玉置口(全面通行止め（旧道）)","","","一般国道 169号","新宮市熊野川町玉置口","新宮市熊野川町玉置口","","災害","全面通行止め（旧道）","","2012/07/13 14:0:0","未定","新宮建設部","法面崩壊","","","","終日","","","","有","","本区間は旧道の一部","135.871507379551","33.9070151696217","通行止"
"一般国道 169号　新宮市熊野川町玉置口(全面通行止め（旧道）)","","","一般国道 169号","新宮市熊野川町玉置口","新宮市熊野川町玉置口","","災害","全面通行止め（旧道）","","2012/07/13 14:0:0","未定","新宮建設部","法面崩壊","","","","終日","","","","有","","本区間は旧道の一部","135.871886334206","33.9059943095983","通行止"
"主要地方道 那智勝浦古座川線　那智勝浦町南平野(片側規制)","","","主要地方道 那智勝浦古座川線","那智勝浦町南平野","那智勝浦町南平野","","災害","片側規制","","2018/09/28 16:00","未定","新宮建設部","その他","法面損傷","","","終日","","","","無","","","135.877616695525","33.650150643664","片側規制"
"主要地方道 那智勝浦古座川線　那智勝浦町南平野(片側規制)","","","主要地方道 那智勝浦古座川線","那智勝浦町南平野","那智勝浦町南平野","","災害","片側規制","","2018/09/28 16:00","未定","新宮建設部","その他","法面損傷","","","終日","","","","無","","","135.876413790071","33.6510255229074","片側規制"
"一般国道 425号　田辺市龍神村小又川(４ｔ以上通行止)","","","一般国道 425号","田辺市龍神村小又川","田辺市龍神村小又川","","災害","４ｔ以上通行止","","2018/09/04 14:00","未定","西牟婁建設部","その他","路肩欠損のため","","","終日","","","","無","","","135.572198941338","33.952171397042","大型車通行止"
"一般国道 425号　田辺市龍神村小又川(４ｔ以上通行止)","","","一般国道 425号","田辺市龍神村小又川","田辺市龍神村小又川","","災害","４ｔ以上通行止","","2018/09/04 14:00","未定","西牟婁建設部","その他","路肩欠損のため","","","終日","","","","無","","","135.638928849588","33.9635704980943","大型車通行止"
"主要地方道 那智山勝浦線　那智勝浦町那智山(片側規制)","","","主要地方道 那智山勝浦線","那智勝浦町那智山","那智勝浦町那智山","","路肩崩壊","片側規制","","2019/11/25 8:00","未定","新宮建設部","路肩崩壊","","","","終日","","","","無","","","135.891224079791","33.6721611060639","片側規制"
"主要地方道 那智山勝浦線　那智勝浦町那智山(片側規制)","","","主要地方道 那智山勝浦線","那智勝浦町那智山","那智勝浦町那智山","","路肩崩壊","片側規制","","2019/11/25 8:00","未定","新宮建設部","路肩崩壊","","","","終日","","","","無","","","135.889347279218","33.6728269614164","片側規制"
"一般国道 371号　古座川町平井(全面通行止)","","","一般国道 371号","古座川町平井","古座川町平井","","災害","全面通行止","上下","2020/06/19 15:30","未定","串本建設部","落石","","","","終日","","","","無","","","135.682915944809","33.6640917099245","通行止"
"一般国道 371号　古座川町平井(全面通行止)","","","一般国道 371号","古座川町平井","古座川町平井","","災害","全面通行止","上下","2020/06/19 15:30","未定","串本建設部","落石","","","","終日","","","","無","","","135.673839571529","33.6691237922503","通行止"
"一般県道 野上清水線　紀美野町梅本(全面通行止)","","","一般県道 野上清水線","紀美野町梅本","紀美野町坂本","","災害","全面通行止","上下","2018/07/14 18:30","未定","海草建設部","法面崩壊","","","","終日","","","","無","","令和2年7月8日の大雨により、う回路としていた紀美野町道（坂本地内）が崩土等により通行止めとなっていますので、国道424号等を利用し、迂回してください。","135.334252229517","34.1152348932131","通行止"
"一般県道 野上清水線　紀美野町梅本(全面通行止)","","","一般県道 野上清水線","紀美野町梅本","紀美野町坂本","","災害","全面通行止","上下","2018/07/14 18:30","未定","海草建設部","法面崩壊","","","","終日","","","","無","","令和2年7月8日の大雨により、う回路としていた紀美野町道（坂本地内）が崩土等により通行止めとなっていますので、国道424号等を利用し、迂回してください。","135.347076284527","34.1173927419613","通行止"
"一般国道 424号　有田川町西ケ峯(片側交互通行)","","","一般国道 424号","有田川町西ケ峯","有田川町西ケ峯","","災害","片側交互通行","","2020/07/15","未定","有田建設部","路肩崩壊","","","","時間規制","8:00～17:00","","","無","","","135.28094004016","34.0953762565757","片側規制"
"一般国道 424号　有田川町西ケ峯(片側交互通行)","","","一般国道 424号","有田川町西ケ峯","有田川町西ケ峯","","災害","片側交互通行","","2020/07/15","未定","有田建設部","路肩崩壊","","","","時間規制","8:00～17:00","","","無","","","135.281170007471","34.0955692382344","片側規制"
"主要地方道 高野口野上線　紀美野町真国宮(片側交互通行)","","","主要地方道 高野口野上線","紀美野町真国宮","紀美野町蓑津呂","","災害","片側交互通行","上下","2020/07/30 16:00","未定","海草建設部","法面崩壊","片側通行","","","終日","","","","有","紀美野町道","8月7日午前9:00～12:00の間、工事による全面通行止めを実施します。その間はう回路のご利用をお願いします。","135.381921327999","34.1709369023197","片側規制"
"主要地方道 高野口野上線　紀美野町真国宮(片側交互通行)","","","主要地方道 高野口野上線","紀美野町真国宮","紀美野町蓑津呂","","災害","片側交互通行","上下","2020/07/30 16:00","未定","海草建設部","法面崩壊","片側通行","","","終日","","","","有","紀美野町道","8月7日午前9:00～12:00の間、工事による全面通行止めを実施します。その間はう回路のご利用をお願いします。","135.383772159769","34.1717618313708","片側規制"
"主要地方道 御坊中津線　日高川町上田原(終日全面通行止（迂回路有）)","","日高建設部","主要地方道 御坊中津線","日高川町上田原","日高川町上田原","","","終日全面通行止（迂回路有）","上下","2019/07/01 9:00","未定","","","","","","終日","","","","有","","","135.325151604011","33.9662409927244","通行止"
"主要地方道 御坊中津線　日高川町上田原(終日全面通行止（迂回路有）)","","日高建設部","主要地方道 御坊中津線","日高川町上田原","日高川町上田原","","","終日全面通行止（迂回路有）","上下","2019/07/01 9:00","未定","","","","","","終日","","","","有","","","135.32588147619","33.9693846697697","通行止"
"一般国道 480号　有田川町遠井(片側交互通行)","","","一般国道 480号","有田川町遠井","有田川町遠井","","災害","片側交互通行","","2020/07/10 19:00","未定","有田建設部","法面崩壊","","","","終日","","","","無","","","135.399930882494","34.0976374784744","片側規制"
"一般国道 480号　有田川町遠井(片側交互通行)","","","一般国道 480号","有田川町遠井","有田川町遠井","","災害","片側交互通行","","2020/07/10 19:00","未定","有田建設部","法面崩壊","","","","終日","","","","無","","","135.398494006814","34.0975444858188","片側規制"
"一般国道 371号　古座川町平井(全面通行止)","","","一般国道 371号","古座川町平井","古座川町平井","","災害","全面通行止","上下","2019/01/26 17:00","未定","串本建設部","路肩崩壊","","","","終日","","","","無","","","135.665165047905","33.6810638559576","通行止"
"一般国道 371号　古座川町平井(全面通行止)","","","一般国道 371号","古座川町平井","古座川町平井","","災害","全面通行止","上下","2019/01/26 17:00","未定","串本建設部","路肩崩壊","","","","終日","","","","無","","","135.673902565198","33.6692027842982","通行止"
"一般県道 花園美里線　かつらぎ町花園梁瀬(片側交互通行)","","伊都建設部","一般県道 花園美里線","かつらぎ町花園梁瀬","かつらぎ町花園梁瀬","","","片側交互通行","上下","2019/11/13 9:00","2021/04/30 17:00","","","","","","終日","","","","無","","","135.510899284742","34.1435990552682","片側規制"
"一般県道 花園美里線　かつらぎ町花園梁瀬(片側交互通行)","","伊都建設部","一般県道 花園美里線","かつらぎ町花園梁瀬","かつらぎ町花園梁瀬","","","片側交互通行","上下","2019/11/13 9:00","2021/04/30 17:00","","","","","","終日","","","","無","","","135.510512241339","34.1461487497759","片側規制"
"一般県道 比井紀伊内原停車場線　日高町比井(片側規制)","","","一般県道 比井紀伊内原停車場線","日高町比井","日高町比井","","災害","片側規制","","2020/10/10","未定","日高建設部","その他","崩土","","","終日","","","","有","","","135.084352605767","33.9206879913072","片側規制"
"一般県道 比井紀伊内原停車場線　日高町比井(片側規制)","","","一般県道 比井紀伊内原停車場線","日高町比井","日高町比井","","災害","片側規制","","2020/10/10","未定","日高建設部","その他","崩土","","","終日","","","","有","","","135.085288528153","33.9207009934522","片側規制"
"主要地方道 有田湯浅線　有田市千田(片側交互通行)","","","主要地方道 有田湯浅線","有田市千田","有田市千田","","落石","片側交互通行","上下","2020/10/10 9:00","未定","有田建設部","落石","","","","終日","","","","有","国道42号","","135.138034513138","34.0581710566811","片側規制"
"主要地方道 有田湯浅線　有田市千田(片側交互通行)","","","主要地方道 有田湯浅線","有田市千田","有田市千田","","落石","片側交互通行","上下","2020/10/10 9:00","未定","有田建設部","落石","","","","終日","","","","有","国道42号","","135.138217503663","34.057821111625","片側規制"
"主要地方道 那智勝浦熊野川線　新宮市熊野川町西(※2t超車両通行止)","","","主要地方道 那智勝浦熊野川線","新宮市熊野川町西","新宮市熊野川町西","","災害","※2t超車両通行止","上下","2020/10/01","未定","新宮建設部","法面崩壊","","","","終日","","","","無","","","135.832410561784","33.7569661658694","大型車通行止"
"主要地方道 那智勝浦熊野川線　新宮市熊野川町西(※2t超車両通行止)","","","主要地方道 那智勝浦熊野川線","新宮市熊野川町西","新宮市熊野川町西","","災害","※2t超車両通行止","上下","2020/10/01","未定","新宮建設部","法面崩壊","","","","終日","","","","無","","","135.831280648263","33.7572790980842","大型車通行止"
"一般国道 370号　紀美野町鎌滝(片側交互通行)","","海草建設部","一般国道 370号","紀美野町鎌滝","紀美野町鎌滝","","","片側交互通行","上下","2021/01/18","2021/07/31","","","","","","終日","","","","無","","","135.380572910267","34.1438652473549","片側規制"
"一般国道 370号　紀美野町鎌滝(片側交互通行)","","海草建設部","一般国道 370号","紀美野町鎌滝","紀美野町鎌滝","","","片側交互通行","上下","2021/01/18","2021/07/31","","","","","","終日","","","","無","","","135.38348067161","34.1432913796254","片側規制"
"一般県道 滝切目停車場線　みなべ町滝(終日全面通行止)","","日高建設部","一般県道 滝切目停車場線","みなべ町滝","みなべ町滝","","","終日全面通行止","上下","2020/4/17","2021/08/10 17:00","","","","","","終日","","","","有","","","135.341185491356","33.8472479272012","通行止"
"一般県道 滝切目停車場線　みなべ町滝(終日全面通行止)","","日高建設部","一般県道 滝切目停車場線","みなべ町滝","みなべ町滝","","","終日全面通行止","上下","2020/4/17","2021/08/10 17:00","","","","","","終日","","","","有","","","135.342018430454","33.846639999446","通行止"
"一般県道 たかの金屋線　日高川町高津尾(終日全面通行止（迂回路有）)","","日高建設部","一般県道 たかの金屋線","日高川町高津尾","日高川町高津尾","(有)大幸","","終日全面通行止（迂回路有）","上下","2021/02/25 9:00","2021/08/02 17:00","","","","","","終日","","","","有","","","135.296899739971","33.9749647939911","通行止"
"一般県道 たかの金屋線　日高川町高津尾(終日全面通行止（迂回路有）)","","日高建設部","一般県道 たかの金屋線","日高川町高津尾","日高川町高津尾","(有)大幸","","終日全面通行止（迂回路有）","上下","2021/02/25 9:00","2021/08/02 17:00","","","","","","終日","","","","有","","","135.296777733054","33.9755597285398","通行止"
